"num","treatment","temp","bug.id","tp.5","age.5","mass.5","tp.wander","mass.wander","age.wander","age.T8","instar.T8","mass.T8","age.T9","instar.T9","mass.T9","age.T10","instar.T10","mass.T10","age.T11","instar.T11","mass.T11","age.T12","instar.T12","mass.T12","age.T13","instar.T13","mass.T13","age.T14","instar.T14","mass.T14","age.T15","instar.T15","mass.T15","age.T16","instar.T16","mass.T16","age.T17","instar.T17","mass.T17","age.T18","instar.T18","mass.T18","age.T19","instar.T19","mass.T19","age.T20","instar.T20","mass.T20","age.T21","instar.T21","mass.T21","age.T22","instar.T22","mass.T22","age.T23","instar.T23","mass.T23","age.T24","instar.T24","mass.T24","age.T25","instar.T25","mass.T25","age.T26","instar.T26","mass.T26","age.T27","instar.T27","mass.T27","age.T28","instar.T28","mass.T28","age.T29","instar.T29","mass.T29","age.T30","instar.T30","mass.T30","age.T31","instar.T31","mass.T31","age.T32","instar.T32","mass.T32","age.T33","instar.T33","mass.T33","age.T34","instar.T34","mass.T34","age.T35","instar.T35","mass.T35","age.T36","instar.T36","mass.T36","mass.gain.T8","mass.gain.T9","mass.gain.T10","mass.gain.T11","mass.gain.T12","mass.gain.T13","mass.gain.T14","mass.gain.T15","mass.gain.T16","mass.gain.T17","mass.gain.T18","mass.gain.T19","mass.gain.T20","mass.gain.T21","mass.gain.T22","mass.gain.T23","mass.gain.T24","mass.gain.T25","mass.gain.T26","mass.gain.T27","mass.gain.T28","mass.gain.T29","mass.gain.T30","mass.gain.T31","mass.gain.T32","mass.gain.T33","mass.gain.T34","mass.gain.T35","mass.gain.T36","mass.gain.4","mass.gain.5","mass.gain.wan"
1,"control",30,"30_c_1","T11",125.8833333,1203.59,"T15",8685.32,215.55,95.81666667,4,978.2,102.05,4,1250.82,119.7666667,4,1186.04,125.8833333,5,1203.59,143.6666667,5,2349.05,167.8,5,5262.23,191.7666667,"5",8881.74,215.55,"w",8685.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,890.85,1163.47,1098.69,1116.24,2261.7,5174.88,8794.39,8597.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.23,1116.24,8597.97
110,"control",20,"20_c_1","T20",337.8833333,1557.23,"T32",11670.52,628.3166667,96.03333333,3,209.88,101.6833333,3,228.66,119.75,3,218.45,125.1333333,3,217.68,143.8333333,4,207.22,169.6,4,331.61,191.65,"4",523.68,214.6333333,"4",853.49,238.85,"4",1204.66,262.9,"4",1389.91,285.7833333,"4",1475.77,312.3166667,"4",1466.23,337.8833333,"5",1557.23,362.1666667,"5",1603.96,384.3833333,"5",1590.54,408.2333333,"5",1850.48,432.1166667,5,2093.32,458.0833333,5,3528.64,483.6833333,"5",4955.32,507.9166667,"5",6600.76,531.5833333,"5",NA,544.7,"5",9933.87,580,"5",11447.41,602.2,"5",12807.18,628.3166667,"w",11670.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180.59,199.37,189.16,188.39,177.93,302.32,494.39,824.2,1175.37,1360.62,1446.48,1436.94,1527.94,1574.67,1561.25,1821.19,2064.03,3499.35,4926.03,6571.47,NA,9904.58,11418.12,12777.89,11641.23,NA,NA,NA,NA,177.93,1527.94,11641.23
111,"control",20,"20_c_2","T21",361.7833333,1192.7,"T30",9456.31,580.0333333,95.66666667,3,193.97,101.5166667,3,199.1,119.6166667,3,194.37,125.1666667,3,194.04,143.7166667,4,190.07,169.65,4,328.91,191.5666667,"4",554.63,214.6833333,"4",571.62,238.7333333,"4",643.43,262.9333333,"4",925.48,285.7,"4",1017.84,312.3166667,"4",1040.3,337.8166667,"4",1031.37,361.7833333,"5",1192.7,384.2666667,"5",1582.45,408.3166667,"5",2078.39,432.0166667,5,3244.44,458.0833333,5,4150.3,483.6,"5",5815.34,507.9333333,"5",7697.53,532.4666667,"5",9362.61,544.5666667,"5",10222.45,580.0333333,"w",9456.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.39,166.52,161.79,161.46,157.49,296.33,522.05,539.04,610.85,892.9,985.26,1007.72,998.79,1160.12,1549.87,2045.81,3211.86,4117.72,5782.76,7664.95,9330.03,10189.87,9423.73,NA,NA,NA,NA,NA,NA,157.49,1160.12,9423.73
113,"control",20,"20_c_4","T22",384.1166667,1131.08,"T36",6509.29,723.3666667,95.98333333,3,155.05,101.5666667,3,172.1,119.7166667,3,177.62,125.0166667,3,176.96,143.8333333,3,175.36,169.8,4,263.47,191.7166667,"4",250.73,214.8333333,"4",327.45,238.7333333,"4",547.4,262.55,"4",814.65,285.6166667,"4",929.61,311.9333333,"4",1147.68,337.7166667,"4",1163.54,361.9166667,"4",1157.39,384.1166667,"5",1131.08,408.45,"5",1736.69,432.1,5,1674.64,457.8666667,5,1773.93,483.7333333,"5",1810.57,507.9333333,"5",2096.76,532.3333333,"5",2653.08,544.4833333,"5",3315.6,579.95,"5",4013.51,602.0666667,"5",4765.52,628.1166667,"5",6327.28,653.5666667,"5",6019.32,676.7,5,6666.03,699.6,5,7140.09,723.3666667,"w",6509.29,112.9,129.95,135.47,134.81,133.21,221.32,208.58,285.3,505.25,772.5,887.46,1105.53,1121.39,1115.24,1088.93,1694.54,1632.49,1731.78,1768.42,2054.61,2610.93,3273.45,3971.36,4723.37,6285.13,5977.17,6623.88,7097.94,6467.14,221.32,1088.93,6467.14
114,"control",20,"20_c_5","T26",483.4166667,912.26,"T36",9131.97,723.35,95.68333333,3,185.11,101.4166667,3,201.23,119.6,3,198.18,125.0666667,3,197.06,143.7,4,186.45,169.55,4,236.09,191.45,"4",236.29,214.6833333,"4",298.65,238.8333333,"4",290.62,262.4333333,"4",484.67,285.5166667,"4",468.51,312.0333333,"4",668.95,338.15,"4",714.34,361.75,"4",709.28,384.15,"4",773.66,408.3333333,"4",892.55,431.9,4,874.69,457.7833333,4,870.95,483.4166667,"5",912.26,507.6666667,"5",1208.23,531.7833333,"5",1780.78,544.4166667,"5",2203.89,579.8,"5",3010.68,602,"5",3991.33,628.15,"5",5593.48,653.5166667,"5",7010.46,676.6666667,5,8473.31,699.6166667,5,9678.72,723.35,"w",9131.97,134.73,150.85,147.8,146.68,136.07,185.71,185.91,248.27,240.24,434.29,418.13,618.57,663.96,658.9,723.28,842.17,824.31,820.57,861.88,1157.85,1730.4,2153.51,2960.3,3940.95,5543.1,6960.08,8422.93,9628.34,9081.59,136.07,861.88,9081.59
115,"control",20,"20_c_6","T19",312.1333333,1376.76,"T26",11062.49,483.7166667,95.76666667,3,213.27,101.6666667,3,212.65,119.3666667,3,211.48,125.1666667,3,210.94,143.8666667,4,226.02,169.65,4,401.89,191.5666667,"4",618.25,214.5666667,"4",859.24,238.7666667,"4",1214.13,262.7,"4",1203.48,285.7,"4",1195.17,312.1333333,"5",1376.76,337.7833333,"5",2335.28,361.95,"5",3818.25,384.3,"5",5464.01,408.8833333,"5",7113.23,431.7833333,5,9571.23,457.85,5,11711.34,483.7166667,"w",11062.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.56,162.94,161.77,161.23,176.31,352.18,568.54,809.53,1164.42,1153.77,1145.46,1327.05,2285.57,3768.54,5414.3,7063.52,9521.52,11661.63,11012.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.31,1327.05,11012.78
116,"control",20,"20_c_7","T20",338,1119.52,"T28",10150.17,531.6333333,95.66666667,3,222.22,101.2833333,3,226.53,119.25,3,222.46,125.1166667,3,222.25,143.6833333,4,222.05,169.7166667,4,374.6,191.3333333,"4",624.71,214.6166667,"4",668.1,238.6833333,"4",993.42,262.4,"4",1064.55,285.35,"4",1080.84,311.9666667,"4",1070.63,338,"5",1119.52,361.7,"5",1704.98,384.6166667,"5",2671.8,408.45,"5",4151.67,431.95,5,4369.53,457.9666667,5,6582.84,483.3666667,"5",8757.83,507.6,"5",10482.46,531.6333333,"w",10150.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.09,180.4,176.33,176.12,175.92,328.47,578.58,621.97,947.29,1018.42,1034.71,1024.5,1073.39,1658.85,2625.67,4105.54,4323.4,6536.71,8711.7,10436.33,10104.04,NA,NA,NA,NA,NA,NA,NA,NA,175.92,1073.39,10104.04
117,"control",20,"20_c_8","T19",311.9833333,1151.85,"T28",9403.1,531.5,95.88333333,3,184.91,101.3666667,3,184.85,119.6166667,4,173.75,124.8333333,4,183.92,143.7166667,4,256.27,169.6,4,450.64,191.6,"4",626.41,214.55,"4",924.66,238.4666667,"4",1138.9,262.5333333,"4",1157.01,285.6166667,"4",1151.43,311.9833333,"5",1151.85,337.7333333,"5",1538.17,361.7333333,"5",2034.01,384.5,"5",2433.17,408.5666667,"5",3897.04,431.8166667,5,3548.26,457.8,5,7163.68,483.5,"5",9755.35,507.8166667,"5",10087.94,531.5,"w",9403.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138.54,138.48,127.38,137.55,209.9,404.27,580.04,878.29,1092.53,1110.64,1105.06,1105.48,1491.8,1987.64,2386.8,3850.67,3501.89,7117.31,9708.98,10041.57,9356.73,NA,NA,NA,NA,NA,NA,NA,NA,127.38,1105.48,9356.73
118,"control",20,"20_c_9","T23",408.3166667,1132,"T31",10778.83,601.9833333,95.68333333,3,217.99,101.5,3,208.64,119.2833333,3,206.99,125,3,206.3,143.7666667,4,196.69,169.4833333,4,349.78,191.4833333,"4",544.7,214.3166667,"4",828.15,238.4833333,"4",899.17,262.45,"4",908.97,285.4,"4",902.23,311.8166667,"4",944.85,337.5,"4",1111.3,361.7666667,"4",1078.91,384.3,"4",1072.68,408.3166667,"5",1132,431.65,5,1612.16,457.6333333,5,2584.28,483.35,"5",4046.92,507.6,"5",5547.76,531.6833333,"5",7231.19,556.3833333,"5",8955.78,579.6833333,"5",10609.81,601.9833333,"w",10778.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177.74,168.39,166.74,166.05,156.44,309.53,504.45,787.9,858.92,868.72,861.98,904.6,1071.05,1038.66,1032.43,1091.75,1571.91,2544.03,4006.67,5507.51,7190.94,8915.53,10569.56,10738.58,NA,NA,NA,NA,NA,156.44,1091.75,10738.58
119,"control",20,"20_c_10","T18",288.8166667,1435.69,"T23",9188.29,409,96.26666667,3,202.44,101.6833333,3,203.49,120.45,4,193.87,125.6333333,4,235.34,145.2,4,350.96,168.3333333,4,541.48,192.3166667,"4",930.02,215.4166667,"4",1337.58,239.7333333,"4",1288.68,262.1333333,"4",1282.32,288.8166667,"5",1435.69,314.65,"5",2217.73,338.6833333,"5",3509.81,360.8333333,"5",4589.32,384.5833333,"5",6522.93,409,"w",9188.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.12,154.17,144.55,186.02,301.64,492.16,880.7,1288.26,1239.36,1233,1386.37,2168.41,3460.49,4540,6473.61,9138.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.55,1386.37,9138.97
120,"control",20,"20_c_11","T21",360.8666667,1460.73,"T29",10394.43,556.6833333,96.65,3,157.21,101.9333333,3,167.27,120.8,3,188.63,126.0166667,3,190.46,145.25,3,186.21,169.05,4,189.45,191.95,"4",312.34,216.1666667,"4",481.04,239.7666667,"4",754.21,262.05,"4",977.04,288.8,"4",1436.87,314.7333333,"4",1367.51,338.4666667,"4",1359.31,360.8666667,"5",1460.73,384.4666667,"5",2044.46,408.4,"5",3065.65,435.2,5,4837.62,460.3,5,6475.46,484.8,"5",7454.05,508.9833333,"5",9281.66,533.35,"5",11066.32,556.6833333,"w",10394.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.9,131.96,153.32,155.15,150.9,154.14,277.03,445.73,718.9,941.73,1401.56,1332.2,1324,1425.42,2009.15,3030.34,4802.31,6440.15,7418.74,9246.35,11031.01,10359.12,NA,NA,NA,NA,NA,NA,NA,154.14,1425.42,10359.12
121,"control",20,"20_c_12","T23",408.7333333,1256.82,"T36",8674.77,725.8166667,96.15,3,209.85,101.6833333,3,208.9,120.2833333,4,198.83,125.6333333,4,227.69,145.0333333,4,345.43,168.35,4,335.99,192.1166667,"4",543.89,215.9833333,"4",534.38,239.4166667,"4",530.39,262.4333333,"4",635.1,288.5,"4",877.46,315.1,"4",1220.32,338.8166667,"4",1225.82,360.4166667,"4",1198.96,384.8666667,"4",1898.2,408.7333333,"5",1256.82,435.2333333,5,2029.73,460.3666667,5,2976.84,484.7166667,"5",2907.61,509.1166667,"5",3391.48,533.1833333,"5",3584.49,556.4166667,"5",3665.65,578.6833333,"5",5126.94,604.5166667,"5",6387.14,629.8666667,"5",7506.62,652.9333333,"5",9404.96,675.8333333,5,9414.83,699.5833333,5,9583.87,725.8166667,"w",8674.77,155.16,154.21,144.14,173,290.74,281.3,489.2,479.69,475.7,580.41,822.77,1165.63,1171.13,1144.27,1843.51,1202.13,1975.04,2922.15,2852.92,3336.79,3529.8,3610.96,5072.25,6332.45,7451.93,9350.27,9360.14,9529.18,8620.08,144.14,1202.13,8620.08
122,"control",20,"20_c_13","T23",408.4,1361.94,"T32",11590.29,629.8833333,96.36666667,3,222.01,101.6666667,3,231.21,120.5333333,3,227.08,125.3833333,3,226.27,144.9333333,4,228.63,168.5833333,4,377.51,192.15,"4",529.74,215.6833333,"4",526.96,239.8666667,"4",522.76,262.4333333,"4",701,289.0166667,"4",689.68,314.7333333,"4",1144.83,338.5,"4",1460.67,360.6333333,"4",1414.13,384.5833333,"4",1405.61,408.4,"5",1361.94,435.35,5,2063.71,460.5,5,3123.23,484.6333333,"5",4477.21,508.8833333,"5",6334.07,533.0166667,"5",8039.76,556.55,"5",9741.52,578.5666667,"5",11331.42,604.4333333,"5",11709.71,629.8833333,"w",11590.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.82,188.02,183.89,183.08,185.44,334.32,486.55,483.77,479.57,657.81,646.49,1101.64,1417.48,1370.94,1362.42,1318.75,2020.52,3080.04,4434.02,6290.88,7996.57,9698.33,11288.23,11666.52,11547.1,NA,NA,NA,NA,185.44,1318.75,11547.1
123,"control",20,"20_c_14","T18",288.85,1434.95,"T26",10973.41,484.5166667,96.53333333,3,208.33,101.9166667,3,207.2,120.6833333,3,204.85,125.9833333,4,200.23,145.1166667,4,305.07,169,4,530.22,191.7666667,"4",908.14,216.1333333,"4",1447,239.0833333,"4",1511.61,262.5666667,"4",1496.87,288.85,"5",1434.95,314.8333333,"5",2066.68,338.8833333,"5",3349.83,360.2166667,"5",4439.93,384.9333333,"5",6325.28,408.7666667,"5",8450.59,435.75,5,9582.15,460.3,5,11463.44,484.5166667,"w",10973.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.31,166.18,163.83,159.21,264.05,489.2,867.12,1405.98,1470.59,1455.85,1393.93,2025.66,3308.81,4398.91,6284.26,8409.57,9541.13,11422.42,10932.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,159.21,1393.93,10932.39
124,"control",20,"20_c_15","T19",314.75,1312.4,"T26",10336.22,484.25,96.56666667,3,207.31,101.75,3,206.33,120.7333333,4,195.14,125.8666667,4,215.21,145.2166667,4,339.85,168.8833333,4,534.41,191.9166667,"4",928.11,215.9833333,"4",946.6,239.2833333,"4",1447.42,262.4833333,"4",1386.93,288.85,"4",1377.94,314.75,"5",1312.4,338.8166667,"5",1949.44,360.25,"5",2928.91,384.8666667,"5",4485.28,408.4,"5",6315.27,435.5,5,8747.34,460.0666667,5,10490.85,484.25,"w",10336.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153.35,152.37,141.18,161.25,285.89,480.45,874.15,892.64,1393.46,1332.97,1323.98,1258.44,1895.48,2874.95,4431.32,6261.31,8693.38,10436.89,10282.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141.18,1258.44,10282.26
125,"control",20,"20_c_16","T22",384.6,1125.66,"T31",9345.47,604.5,96.6,3,159.35,101.6833333,3,161.06,120.75,3,159.5,125.8333333,3,158.91,145.25,4,152.73,168.8,4,243.05,191.9333333,"4",434.62,215.2833333,"4",482.69,239.5,"4",627.25,262,"4",751.43,288.5666667,"4",925.05,314.85,"4",1134.21,338.9166667,"4",1090.75,360.4333333,"4",1083.31,384.6,"5",1125.66,408.5,"5",1662.26,435.2166667,5,2701.93,460.0166667,5,3929.19,484.7,"5",4693.08,508.9833333,"5",6856.33,533.0166667,"5",7118.96,556.4333333,"5",9571.03,578.4333333,"5",10470.67,604.5,"w",9345.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.36,122.07,120.51,119.92,113.74,204.06,395.63,443.7,588.26,712.44,886.06,1095.22,1051.76,1044.32,1086.67,1623.27,2662.94,3890.2,4654.09,6817.34,7079.97,9532.04,10431.68,9306.48,NA,NA,NA,NA,NA,113.74,1086.67,9306.48
126,"control",20,"20_c_17","T22",384.75,1538.96,"T31",12622.76,604.4333333,96.36666667,3,245.13,101.4333333,3,239.79,120.5333333,3,236.91,125.6833333,3,236.25,145.3333333,4,228.65,168.3333333,4,364.98,191.8333333,"4",398.21,215.0166667,"4",611.32,238.8833333,"4",746.48,262.0333333,"4",810.13,289,"4",1097.59,314.3,"4",1618.66,338.7,"4",1595.53,360.2333333,"4",1589.06,384.75,"5",1538.96,408.5333333,"5",2303.35,435.6166667,5,3618.26,460.25,5,4982.78,484.3833333,"5",6956.55,508.7666667,"5",9218.31,532.7833333,"5",10910.25,556.3166667,"5",12486.69,578.4833333,"5",13485.11,604.4333333,"w",12622.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,201.96,196.62,193.74,193.08,185.48,321.81,355.04,568.15,703.31,766.96,1054.42,1575.49,1552.36,1545.89,1495.79,2260.18,3575.09,4939.61,6913.38,9175.14,10867.08,12443.52,13441.94,12579.59,NA,NA,NA,NA,NA,185.48,1495.79,12579.59
127,"control",20,"20_c_18","T18",288.65,1350.44,"T27",11754.11,508.8,96.08333333,3,243.03,101.65,3,242.25,120.2333333,4,232.5,125.3333333,4,258.95,144.6333333,4,393.79,168.7,4,619.74,191.9,"4",1066.73,215.7166667,"4",1178.1,239.6833333,"4",1420.06,261.8166667,"4",1408.96,288.65,"5",1350.44,314.4666667,"5",1950.91,338.4833333,"5",2511.37,360.5333333,"5",3639.62,384.3833333,"5",5288.75,408.5333333,"5",7250.44,435.4666667,5,9169.76,459.9333333,5,11287.93,484.2166667,"5",12728.44,508.8,"w",11754.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.33,186.55,176.8,203.25,338.09,564.04,1011.03,1122.4,1364.36,1353.26,1294.74,1895.21,2455.67,3583.92,5233.05,7194.74,9114.06,11232.23,12672.74,11698.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,176.8,1294.74,11698.41
