id,temp,tp,wet.mass,dry.mass,water.mass,perc.water,date.start,date.end,dry.temp
20-6-1,20,6,465.64,101.67,363.97,0.781655356,1/31/17,2/4/17,50
20-6-2,20,6,474.38,112.25,362.13,0.763375353,1/31/17,2/4/17,50
20-6-3,20,6,488.79,125.2,363.59,0.74385728,1/31/17,2/4/17,50
20-6-4,20,6,126.48,33.82,92.66,0.732605946,1/31/17,2/4/17,50
20-6-5,20,6,441.96,112.36,329.6,0.745768848,1/31/17,2/4/17,50
20-6-6,20,6,481.77,95.06,386.71,0.802685929,1/31/17,2/4/17,50
20-6-7,20,6,266.01,57.01,209,0.785684749,1/31/17,2/4/17,50
20-6-8,20,6,224.4,50.71,173.69,0.774019608,1/31/17,2/4/17,50
20-6-9,20,6,167.57,39.11,128.46,0.766605001,1/31/17,2/4/17,50
20-6-10,20,6,146.08,37.02,109.06,0.746577218,1/31/17,2/4/17,50
20-6-11,20,6,142.49,34.27,108.22,0.759491894,1/31/17,2/4/17,50
20-6-12,20,6,334.46,86.22,248.24,0.742211326,2/8/17,2/12/17,50
20-6-13,20,6,623.49,133.18,490.31,0.786395933,2/8/17,2/12/17,50
20-6-14,20,6,224.55,58.62,165.93,0.738944556,2/8/17,2/12/17,50
20-6-15,20,6,341.71,73.57,268.14,0.784700477,2/8/17,2/12/17,50
20-18-1,20,18,496.76,121.92,374.84,0.754569611,1/25/17,1/27/17,50
20-18-2,20,18,430.91,107.82,323.09,0.749785338,1/31/17,2/4/17,50
20-18-3,20,18,593.36,158.37,434.99,0.733096265,1/31/17,2/4/17,50
20-18-4,20,18,370.22,103.14,267.08,0.721408892,1/31/17,2/4/17,50
20-18-5,20,18,570.27,174.88,395.39,0.693338243,1/31/17,2/4/17,50
20-18-6,20,18,154.82,51.62,103.2,0.666580545,1/31/17,2/4/17,50
20-18-7,20,18,298.45,71.95,226.5,0.758921092,1/31/17,2/4/17,50
20-18-8,20,18,610.45,155.85,454.6,0.744696535,2/8/17,2/12/17,50
20-18-9,20,18,551.25,127.8,423.45,0.768163265,2/8/17,2/12/17,50
20-18-10,20,18,397.17,99.75,297.42,0.7488481,2/8/17,2/12/17,50
20-18-11,20,18,459.46,111.14,348.32,0.758107343,2/8/17,2/12/17,50
20-18-12,20,18,502.3,132.64,369.66,0.7359347,2/8/17,2/12/17,50
20-18-13,20,18,418.67,105.37,313.3,0.748322067,2/8/17,2/12/17,50
20-24-1,20,24,699.32,173.6,525.72,0.751758851,1/25/17,1/27/17,50
20-24-2,20,24,2524.5,596.41,1928.09,0.763751238,1/31/17,2/4/17,50
20-24-3,20,24,2910.12,656.11,2254.01,0.774541943,1/31/17,2/4/17,50
20-24-4,20,24,5159.54,1173.48,3986.06,0.77256112,1/31/17,2/4/17,50
20-24-5,20,24,3665.17,811.85,2853.32,0.77849595,1/31/17,2/4/17,50
20-24-6,20,24,2103.74,489.77,1613.97,0.767190813,2/8/17,2/12/17,50
20-24-7,20,24,2603.51,606.66,1996.85,0.766983803,2/8/17,2/12/17,50
20-24-8,20,24,1188.64,284.09,904.55,0.76099576,2/8/17,2/12/17,50
20-24-9,20,24,1099.22,251.6,847.62,0.771110424,2/8/17,2/12/17,50
20-24-10,20,24,1678.94,407.65,1271.29,0.757197994,2/8/17,2/12/17,50
20-24-11,20,24,474.71,126.68,348.03,0.73314234,2/8/17,2/12/17,50
20-24-12,20,24,1040.3,265.49,774.81,0.744794771,2/8/17,2/12/17,50
25-6-1,25,6,164.36,48.31,116.05,0.706072037,1/31/17,2/4/17,50
25-6-2,25,6,333.29,97.06,236.23,0.708782142,1/31/17,2/4/17,50
25-6-3,25,6,339.15,75.38,263.77,0.777738464,1/31/17,2/4/17,50
25-6-4,25,6,454.1,93.16,360.94,0.79484695,1/31/17,2/4/17,50
25-6-5,25,6,198.21,47.97,150.24,0.757983956,1/31/17,2/4/17,50
25-6-6,25,6,2186.35,480.49,1705.86,0.780231893,1/31/17,2/4/17,50
25-6-7,25,6,696.17,163.27,532.9,0.76547395,2/8/17,2/12/17,50
25-6-8,25,6,336.04,111.88,224.16,0.667063445,2/8/17,2/12/17,50
25-18-1,25,18,159.35,96.5,62.85,0.39441481,1/31/17,2/4/17,50
25-18-2,25,18,262.61,74.39,188.22,0.716728228,1/31/17,2/4/17,50
25-18-3,25,18,215.47,66.37,149.1,0.691975681,1/31/17,2/4/17,50
25-18-4,25,18,1441.63,326.87,1114.76,0.773263597,1/31/17,2/4/17,50
25-18-5,25,18,1294.66,307.06,987.6,0.762825761,2/8/17,2/12/17,50
25-18-6,25,18,795.35,221.47,573.88,0.721543974,2/8/17,2/12/17,50
25-18-7,25,18,559.51,117.42,442.09,0.790137799,2/8/17,2/12/17,50
25-18-8,25,18,149.5,113.64,35.86,0.239866221,2/8/17,2/12/17,50
25-18-9,25,18,408.6,98.69,309.91,0.758467939,2/8/17,2/12/17,50
25-24-1,25,24,5886.39,1353.49,4532.9,0.770064505,1/25/17,1/27/17,50
25-24-2,25,24,7503.65,1897.21,5606.44,0.747161715,1/31/17,2/4/17,50
25-24-3,25,24,8775.23,2308.86,6466.37,0.736888948,1/31/17,2/4/17,50
25-24-4,25,24,5842.34,1472.19,4370.15,0.748013638,1/31/17,2/4/17,50
25-24-5,25,24,4074.92,978.27,3096.65,0.759929029,1/31/17,2/4/17,50
25-24-6,25,24,7997.47,2122.32,5875.15,0.734626075,2/8/17,2/12/17,50
25-24-7,25,24,9014.16,2162.95,6851.21,0.760049744,2/8/17,2/12/17,50
25-24-8,25,24,7902.51,1723.94,6178.57,0.781849058,2/8/17,2/12/17,50
25-24-9,25,24,7540.72,1958.88,5581.84,0.740226397,2/8/17,2/12/17,50
25-24-10,25,24,8920.05,1899.48,7020.57,0.787055005,2/8/17,2/12/17,50
25-24-11,25,24,6970.32,1536.58,5433.74,0.77955388,2/8/17,2/12/17,50
25-24-12,25,24,5683.05,1311.54,4371.51,0.769218993,2/8/17,2/12/17,50
25-24-13,25,24,4937.39,1166.88,3770.51,0.763664608,2/8/17,2/12/17,50
30-6-1,30,6,302.64,76.01,226.63,0.74884351,1/25/17,1/27/17,50
30-6-2,30,6,119.94,31.56,88.38,0.736868434,1/31/17,2/4/17,50
30-6-3,30,6,411.77,108.96,302.81,0.735386259,1/31/17,2/4/17,50
30-6-4,30,6,1117.26,233.06,884.2,0.79140039,1/31/17,2/4/17,50
30-6-5,30,6,647.21,147.91,499.3,0.771465212,1/31/17,2/4/17,50
30-6-6,30,6,347.56,78.69,268.87,0.773593049,1/31/17,2/4/17,50
30-6-7,30,6,129.29,41.45,87.84,0.679402893,1/31/17,2/4/17,50
30-6-8,30,6,3695.95,812.68,2883.27,0.780116073,1/31/17,2/4/17,50
30-6-9,30,6,2617.25,589.02,2028.23,0.774946986,2/8/17,2/12/17,50
30-6-10,30,6,885.44,231.72,653.72,0.738299602,2/8/17,2/12/17,50
30-18-1,30,18,281.66,72.97,208.69,0.740928779,1/25/17,1/27/17,50
30-18-2,30,18,238.71,87.22,151.49,0.634619413,1/31/17,2/4/17,50
30-18-3,30,18,6603.13,1708,4895.13,0.741334791,1/31/17,2/4/17,50
30-18-4,30,18,563.91,146.31,417.6,0.740543704,1/31/17,2/4/17,50
30-18-5,30,18,253.27,73.85,179.42,0.708413946,1/31/17,2/4/17,50
30-18-6,30,18,4246.34,1008.65,3237.69,0.76246603,1/31/17,2/4/17,50
30-18-7,30,18,4456.22,1046.19,3410.03,0.765229275,2/8/17,2/12/17,50
30-18-8,30,18,2075.65,468.48,1607.17,0.774297208,2/8/17,2/12/17,50
30-18-9,30,18,1138.56,305.77,832.79,0.73144147,2/8/17,2/12/17,50
30-24-1,30,24,9862.75,2364.48,7498.27,0.76026159,1/25/17,1/27/17,50
30-24-2,30,24,4788.85,1750.62,3038.23,0.634438331,1/31/17,2/4/17,50
30-24-3,30,24,5271.56,1268.33,4003.23,0.759401392,1/31/17,2/4/17,50
30-24-4,30,24,4490.15,1021.95,3468.2,0.772401813,1/31/17,2/4/17,50
30-24-5,30,24,5335.03,1366.92,3968.11,0.743784009,2/8/17,2/12/17,50
30-24-6,30,24,8300.03,1855.38,6444.65,0.776461049,2/8/17,2/12/17,50
30-24-7,30,24,7126.47,1546.9,5579.57,0.782936012,2/8/17,2/12/17,50
30-24-8,30,24,11691.19,2575.1,9116.09,0.779740129,2/8/17,2/12/17,50
30-24-9,30,24,6429.88,1455.6,4974.28,0.773619414,2/8/17,2/12/17,50
30-24-10,30,24,7089.49,1773.57,5315.92,0.749831088,2/8/17,2/12/17,50
30-24-11,30,24,10166.24,2227.85,7938.39,0.780858016,2/8/17,2/12/17,50
30-24-12,30,24,6190.67,1431.02,4759.65,0.768842468,2/8/17,2/12/17,50
